,name,gender,Name Rank,age,agreeableness_score,conscientiousness_score,surgency_score,emotional_stability_score,intellect_score,Condition_feels normal,Condition_has a fever and a cough,Condition_has a light cough,Daily New Cases Day 4,Time Step,Response
0,Nick,1,0.9569999999999999,18,0,0,0,1,0,True,False,False,0.0,0,0
1,Jonathan,1,0.9699999999999999,27,1,1,1,0,0,True,False,False,0.0,0,0
2,Michael,1,0.9979999999999999,53,0,1,0,1,1,True,False,False,0.0,0,0
3,Juan,1,0.9959999999999999,27,0,1,1,0,0,True,False,False,0.0,0,0
4,David,1,0.9989999999999999,36,1,1,0,1,0,True,False,False,0.0,0,0
5,Diana,0,0.9739999999999999,56,0,0,1,0,1,True,False,False,0.0,0,0
6,Jose,1,0.9999999999999999,60,1,1,0,1,0,True,False,False,0.0,0,0
7,Veronica,0,0.9589999999999999,26,1,0,0,1,0,True,False,False,0.0,0,0
8,Kim,0,0.9659999999999999,27,0,0,1,0,1,True,False,False,0.0,0,0
9,Julie,0,0.9669999999999999,19,0,1,0,1,1,True,False,False,0.0,0,0
10,Amanda,0,0.9839999999999999,55,1,1,1,0,0,True,False,False,0.0,0,0
11,Gloria,0,0.9599999999999999,36,0,1,1,0,1,True,False,False,0.0,0,0
12,Linda,0,0.9889999999999999,27,0,0,1,0,1,True,False,False,0.0,0,0
13,Kelly,0,0.9709999999999999,36,0,1,0,0,0,True,False,False,0.0,0,0
14,Elizabeth,0,0.9919999999999999,57,0,1,1,0,0,True,False,False,0.0,0,0
15,Cindy,0,0.9539999999999998,35,0,1,0,0,1,True,False,False,0.0,0,0
16,Steven,1,0.9529999999999998,61,0,0,1,1,0,True,False,False,0.0,0,0
17,Susan,0,0.9769999999999999,21,0,1,0,0,1,True,False,False,0.0,0,0
18,Lauren,0,0.9609999999999999,26,1,1,1,1,0,True,False,False,0.0,0,0
19,Monica,0,0.9629999999999999,35,1,1,0,1,0,True,False,False,0.0,0,0
20,Laura,0,0.9909999999999999,48,1,1,0,1,1,True,False,False,0.0,0,0
21,Claudia,0,0.9619999999999999,31,1,0,1,1,1,True,False,False,0.0,0,0
